,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
385,2023-06-27,139.0,139.84,138.54,139.2,134.04,8154024,8154024,0.2,0.14388,139.145,"June 27, 23",0.0014388
386,2023-06-26,138.87,140.01,137.69,139.19,134.03,8429727,8429727,0.32,0.23043,138.94,"June 26, 23",0.0023043
387,2023-06-23,138.54,139.18,137.62,138.85,133.7,9919539,9919539,0.31,0.22376,138.5475,"June 23, 23",0.0022376
388,2023-06-22,142.31,142.6,138.95,139.58,134.4,10076325,10076325,-2.73,-1.92,140.86,"June 22, 23",-0.0192
389,2023-06-21,142.9,144.02,141.69,142.32,137.04,9926500,9926500,-0.58,-0.40588,142.7325,"June 21, 23",-0.0040588
390,2023-06-20,142.61,143.0,141.04,142.53,137.24,8431008,8431008,-0.08,-0.05609705,142.295,"June 20, 23",-0.0005609705
391,2023-06-16,143.05,143.97,142.5,143.26,137.95,13813512,13813512,0.21,0.1468,143.195,"June 16, 23",0.001468
392,2023-06-15,140.59,143.4,140.03,143.09,137.78,9343100,9343100,2.5,1.78,141.7775,"June 15, 23",0.0178
393,2023-06-14,143.0,143.61,140.7,141.49,136.24,9068729,9068729,-1.51,-1.06,142.2,"June 14, 23",-0.0106
394,2023-06-13,140.48,142.87,140.14,142.02,136.75,7701600,7701600,1.54,1.1,141.3775,"June 13, 23",0.011
395,2023-06-12,141.07,141.32,139.76,141.0,135.77,7600196,7600196,-0.07,-0.04962076,140.7875,"June 12, 23",-0.0004962076
396,2023-06-09,140.35,141.8,140.21,141.01,135.78,7253946,7253946,0.66,0.47025,140.8425,"June 09, 23",0.0047025
397,2023-06-08,140.67,140.89,139.48,140.73,135.51,7370043,7370043,0.06,0.04265302,140.4425,"June 08, 23",0.0004265302
398,2023-06-07,139.55,141.27,138.83,140.69,135.47,9281400,9281400,1.14,0.81691,140.085,"June 07, 23",0.0081691
399,2023-06-06,138.68,140.1,138.21,139.34,134.17,9329541,9329541,0.66,0.47592,139.0825,"June 06, 23",0.0047592
400,2023-06-05,140.11,140.34,138.13,139.09,133.93,9685780,9685780,-1.02,-0.728,139.4175,"June 05, 23",-0.00728
401,2023-06-02,139.56,141.48,139.34,140.47,135.26,12922471,12922471,0.91,0.65205,140.2125,"June 02, 23",0.0065205
402,2023-06-01,136.52,138.23,135.45,137.58,132.48,12248100,12248100,1.06,0.77644,136.945,"June 01, 23",0.0077644
403,2023-05-31,136.73,136.84,134.4,135.71,130.68,14219906,14219906,-1.02,-0.746,135.92,"May 31, 23",-0.00746
404,2023-05-30,136.8,137.72,136.02,137.46,132.36,7399900,7399900,0.66,0.48246,137.0,"May 30, 23",0.0048246
405,2023-05-26,136.11,137.6,135.63,136.94,131.86,8579941,8579941,0.83,0.6098,136.57,"May 26, 23",0.006098
